ID	taxonomy	Taxon	Taxon Level	Feeding	Lifestyle	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
Genus01616	Ascomycota;Ascomycota_X;Ascomycota_XX;Acrodontium	Acrodontium	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	b'The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))'
Genus01620	Ascomycota;Pezizomycotina;Arthoniomycetes;Combea	Combea	13	Symbiotroph	Lichenized	Thallus	NULL	Highly Probable	NULL	b'Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))'
Genus01621	Ascomycota;Pezizomycotina;Arthoniomycetes;Dendrographa	Dendrographa	13	Symbiotroph	Lichenized	Thallus	NULL	Highly Probable	NULL	b'Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))'
Genus01622	Ascomycota;Pezizomycotina;Arthoniomycetes;Lecanactis	Lecanactis	13	Symbiotroph	Lichenized	Thallus	NULL	Highly Probable	NULL	b'Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))'
Genus01623	Ascomycota;Pezizomycotina;Arthoniomycetes;Opegrapha	Opegrapha	13	Symbiotroph	Lichenized	Microfungus-Thallus	NULL	Possible	Lichenized and non-licenized taxa	b'Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))'
Genus01624	Ascomycota;Pezizomycotina;Arthoniomycetes;Roccella	Roccella	13	Symbiotroph	Lichenized	Thallus	NULL	Highly Probable	NULL	b'Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))'
Genus01625	Ascomycota;Pezizomycotina;Arthoniomycetes;Roccellographa	Roccellographa	13	Symbiotroph	Lichenized	Thallus	NULL	Highly Probable	NULL	b'Outline of Ascomycota ((http://www.fieldmuseum.org/myconet))'
Genus01626	Ascomycota;Pezizomycotina;Dothideomycetes;Abrothallus	Abrothallus	13	Pathotroph	Lichen Parasite	Microfungus	NULL	Possible	NULL	b'Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))'
Genus01627	Ascomycota;Pezizomycotina;Dothideomycetes;Acanthostigma	Acanthostigma	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus01629	Ascomycota;Pezizomycotina;Dothideomycetes;Acrocordiopsis	Acrocordiopsis	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus01630	Ascomycota;Pezizomycotina;Dothideomycetes;Acrospermum	Acrospermum	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
Genus01631	Ascomycota;Pezizomycotina;Dothideomycetes;Aigialus	Aigialus	13	Saprotroph	Plant Saprotroph	Microfungus	NULL	Highly Probable	Saprotroph isolated from submerged roots and branches of Rhizophora mangle in the Caribbean Sea (Kohlmeyer & Schatz 1985)	b'Kohlmeyer J, Schatz S. 1985. Transactions of the British Mycological Society 85:699-707 ((https://doi.org/10.1016/S0007-1536(85)80266-7))'
Genus01632	Ascomycota;Pezizomycotina;Dothideomycetes;Aliquandostipite	Aliquandostipite	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
