Super_Domain	Domain	Genus	Lichen
Eukaryota	Archaeplastida	Apatococcus	Photobiont
Eukaryota	Archaeplastida	Asterochloris	Photobiont
Eukaryota	Archaeplastida	Auxenochlorella	Photobiont
Eukaryota	Archaeplastida	Blidingia	Photobiont
Eukaryota	Archaeplastida	Bracteacoccus	Photobiont
Prokaryota	Bacteria	Brasilonema	Photobiont
Prokaryota	Bacteria	Calothrix	Photobiont
Eukaryota	Archaeplastida	Cephaleuros	Photobiont
Eukaryota	Archaeplastida	Chlamydomonas	Photobiont
Eukaryota	Archaeplastida	Chlorella	Photobiont
Eukaryota	Archaeplastida	Chloroidium	Photobiont
Eukaryota	Archaeplastida	Chlorosarcinopsis	Photobiont
Prokaryota	Bacteria	Chroococcidiopsis	Photobiont
Eukaryota	Archaeplastida	Coccobotrys	Photobiont
Eukaryota	Archaeplastida	Coccomyxa	Photobiont
Eukaryota	Archaeplastida	Deuterostichococcus	Photobiont
Prokaryota	Bacteria	Dichothrix	Photobiont
Eukaryota	Archaeplastida	Dictyochloropsis	Photobiont
Eukaryota	Archaeplastida	Dilabifilum	Photobiont
Eukaryota	Archaeplastida	Diplosphaera	Photobiont
Eukaryota	Archaeplastida	Elliptochloris	Photobiont
Prokaryota	Bacteria	Gloeocapsa	Photobiont
Eukaryota	Archaeplastida	Gloeocystis	Photobiont
Eukaryota	Archaeplastida	Halofilum	Photobiont
Eukaryota	Stramenopiles	Heterococcus	Photobiont
Eukaryota	Archaeplastida	Heveochlorella	Photobiont
Prokaryota	Bacteria	Hyella	Photobiont
Prokaryota	Bacteria	Hyphomorpha	Photobiont
Eukaryota	Archaeplastida	Interfilum	Photobiont
Eukaryota	Archaeplastida	Leptosira	Photobiont
Eukaryota	Archaeplastida	Lithotrichon	Photobiont
Eukaryota	Archaeplastida	Myrmecia	Photobiont
Prokaryota	Bacteria	Myxosarcina	Photobiont
Eukaryota	Archaeplastida	Neocystis	Photobiont
Prokaryota	Bacteria	Nostoc	Photobiont
Eukaryota	Archaeplastida	Paulbroadya	Photobiont
Eukaryota	Stramenopiles	Petroderma	Photobiont
Eukaryota	Archaeplastida	Phycopeltis	Photobiont
Eukaryota	Archaeplastida	Prasiola	Photobiont
Eukaryota	Archaeplastida	Pseudendoclonium	Photobiont
Eukaryota	Archaeplastida	Pseudochlorella	Photobiont
Eukaryota	Archaeplastida	Pseudostichococcus	Photobiont
Eukaryota	Archaeplastida	Radiococcus	Photobiont
Prokaryota	Bacteria	Rhizonema	Photobiont
Prokaryota	Bacteria	Rivularia	Photobiont
Prokaryota	Bacteria	Scytonema	Photobiont
Prokaryota	Bacteria	Stigonema	Photobiont
Eukaryota	Archaeplastida	Symbiochloris	Photobiont
Prokaryota	Bacteria	Tolypothrix	Photobiont
Eukaryota	Archaeplastida	Trebouxia	Photobiont
Eukaryota	Archaeplastida	Trentepohlia	Photobiont
Eukaryota	Archaeplastida	Tritostichococcus	Photobiont
Eukaryota	Archaeplastida	Trochiscia	Photobiont
Eukaryota	Archaeplastida	Vulcanochloris	Photobiont
Eukaryota	Stramenopiles	Xanthonema	Photobiont
